ID,GruenhornApotheke,AbcApotheke,HeliosApotheke,420BrokkoliApotheke,CannflosApotheke,GrueneblueteApotheke,Cannabisapo24Apotheke
86,Navcora THC 22 Spotlight Porto: Headband,None,Navcora THC22 Spotlight Porto – Headband,Navcora THC22 Spotlight Porto Headband,Navcora THC 22 Spotlight Porto,None,None
87,Navcora THC22 Spotlight Porto: Sirius,None,Navcora THC22 Spotlight Porto – Sirius,Navcora THC22 Spotlight Porto Sirius,Navcora THC 22 Spotlight Porto,Navcora THC22 SP Porto (Sirius (Alien Dawg)),Navcora THC22 Spotlight Porto Sirius
88,Pedanios 16/1 TNG-DK: Tangerine Dream,Pedanios 16/1 TNG-DK,Pedanios 16/1 TNG DK – Tangerine Dream,Pedanios 16/1 TNG-DK,Pedanios 16/1,Pedanios 16/1 TNG-DK (Tangerine Dream),Pedanios 16/1 TNG-DK
89,Pedanios 20/1 DNK: LA Confidential,Pedanios 20/1,Pedanios 20/1 DNK – LA Confidential,Pedanios 20/1 DNK,Pedanios 20/1 DNK,Aurora Pedanios 20/1 DNK (LA Confidential),Pedanios 20/1 DNK
90,Pedanios 22/1 DNK: Ghost Train Haze,Pedanios 22/1,Pedanios 22/1 DNK – Ghost Train Haze,Pedanios 22/1 DNK,Pedanios 22/1 DNK,Aurora Pedanios 22/1 DNK (Ghost Train Haze),Pedanios 22/1 DNK
91,Pedanios 27/1 FRG-CA: Farm Gas,Pedanios 27/1 FRG-CA,Pedanios 27/1 FRG – CA FARM GAS,Pedanios 27/1 FRG-CA,Pedanios 27/1 FRG-CA,Pedanios 27/1 FRG-CA (Farm Gas),Pedanios 27/1 FRG-CA
92,Pedanios 29/1 SRD-CA: Sourdough,Pedanios 29/1 SRD-CA,Pedanios 29/1 SRD – CA SOURDOUGH,Pedanios 29/1 SRD-CA,Pedanios 29/1 SRD-CA,Pedanios 29/1 SRD-CA (Sourdough),Pedanios 29/1 SRD-CA
93,RUA Kia Kaha 26/1: OG Kush x Wedding Cake,None,None,None,Kia Kaha 26/1,Kia Kaha 26/1 (Kia Kaha),RUA KIA KAHA 26/1
94,RUA Kia Kaha 29/1: OG Kush x Wedding Cake,None,None,Rua Kia Kaha 29/1,Kia Kaha 29/1,Kia Kaha 29/1 (Kia Kaha),RUA KIA KAHA 29/1
95,Remexian 25/1: Frosted Lemon Cake,None,Remexian 25/1 – Frosted Lemon Cake,Remexian 25/1,None,None,Remexian 25/1
96,Remexian 25/1: GAC,None,None,Remexian 25/1 GAC,Remexian 25/1 GAC,None,Remexian 25/1 GAC
97,Stratus Indica: Wappa,Stratus Indica,None,Stratus Indica,Stratus Indica,Stratus Indica (Wappa),Stratus Indica - Wappa
98,Supreme 18/1 - White Widow,None,Supreme 18/1  – White Widow,Supreme 18/1: White Widow,Supreme 18/1,Supreme 18/1 (White Widow),Supreme 18/1
99,Supreme 24/1: Frosted Lemon Cake,None,Supreme 24/1 – Frosted Lemon Cake,Supreme 24/1: Frosted Lemon Cake,Supreme 24/1,Supreme 24/1 (Frosted Lemon Cake),Supreme 24/1
100,Tilray THC 18 Spotlight Porto: Headband,None,None,THC 18 Spotlight Porto: Headband,None,Tilray THC18 Spotlight Porto (Headband),Tilray THC18 Spotlight Porto - Headband
101,Tilray THC 25 Spotlight Porto: Galaxywalker OG,None,Tilray THC25 Spotlight Porto – Galaxywalker OG,THC25 Spotlight Porto: Galaxy Walker,None,Tilray THC25 Spotlight Porto (Galaxy Walker),Tilray THC25 Spotlight Porto - Galaxy Walker OG
102,Tilray THC 22 Indica No.2: Master Kush,Tilray Indica No. 2,Tilray THC22 Indica #1 – Master Kush,THC22 Indica No.2,None,Tilray THC22 Indica No.2 (Master Kush),Tilray THC22 Indica No 2
103,Tilray THC 22 Sativa No.2: Headband,Tilray Sativa No. 2,Tilray THC22 Sativa #2 – Headband,THC22 Sativa NO.2,Tilray THC 22 Sativa No2,Tilray THC22 Sativa No.2 (Headband),Tilray THC22 Sativa No 2 - Headband
104,Tilray THC 22 Spotlight Porto: Island Sweet Skunk,Tilray Spotlight Porto,None,THC22 Spotlight Porto: Island Sweet Skunk,Tilray THC 22 Spotlight Porto,Tilray THC22 Spotlight Porto (Island Sweet Skunk),Tilray THC22 Spotlight Porto - Island Sweet Skunk
105,Tilray THC 22 Spotlight Porto: Pink Kush,None,Tilray THC22 Spotlight Vancouver  – Pink Kush,THC22 Spotlight Porto: Pink Kush,None,Tilray THC22 Spotlight Porto (Pink Kush),Tilray THC22 Spotlight Porto Pink Kush
106,Tilray THC 22 Spotlight Porto: Rockstar,None,None,THC22 Spotlight Porto: Rockstar,None,Tilray THC22 Spotlight Porto (Rockstar),Tilray THC22 Spotlight Porto - Rockstar
107,Tilray THC 25 Indica No.2: Master Kush,None,Tilray THC25 Indica #2 – Master Kush,THC25 Indica No. 2,Tilray THC 25 Indica No2,None,Tilray THC25 Indica No 2
108,Tilray THC 25 Sativa No.2: Headband,None,None,THC25 Sativa No.2,Tilray THC 25 Sativa No 2,Tilray THC25 Sativa No.2 (Headband),Tilray THC25 Sativa No 2 - Headband
109,Tilray THC 25 Spotlight Porto: Pink Kush,None,None,THC25 Spotlight Porto: Pink Kush,None,Tilray THC25 Spotlight Porto (Pink Kush),Tilray THC25 Spotlight Porto Pink Kush
110,Tilray THC 18 Spotlight Porto: Mango,None,Tilray THC18 Spotlight Porto – Mango,THC 18 Spotlight Porto: Mango,None,None,Tilray THC18 Spotlight Porto - Mango
111,Tilray THC 22 Spotlight Porto: Mango,None,None,THC22 Spotlight Porto: Mango,Tilray THC 22 Spotlight Porto,Tilray THC22 Spotlight Porto (Mango),Tilray THC22 Spotlight Porto - Mango
112,Tilray THC 25 Spotlight Porto: Island Sweet Skunk,None,None,THC25 Spotlight Porto: Island Sweet Skunk,Tilray THC 25 Spotlight Porto,Tilray THC25 Spotlight Porto (Island Sweet Skunk),Tilray THC25 Spotlight Porto Island Sweet Skunk
113,Tilray THC 9 : CBD 9: Warlock,None,Tilray THC9:CBD9 #1 – Warlock,None,Tilray 9/9 No.1,Tilray THC9:CBD9 (Warlock CBD),None
114,Tilray THC 22 Spotlight Montevideo: Gorilla Glue,None,None,THC22 Spotlight Montevideo: Gorilla Glue,None,Tilray THC22 Spotlight Montevideo (Gorilla Glue),Tilray THC22 Spotlight Montevideo - Gorilla Glue
115,Tilray THC 22 Spotlight Montevideo: Purple Dog Bud,None,None,THC22 Spotlight Montevideo: Purple Dog Bud,Tilray THC 22 Spotlight Montevideo,Tilray THC22 Spotlight Montevideo (Purple Dog Bud),Tilray THC22 Spotlight Montevideo - Purple Dog Bud
116,Tilray THC 22 Spotlight Porto: Jack Herer,None,Tilray THC22 Spotlight Porto  – Jack Herer,THC22 Spotlight Porto: Jack Herer,Tilray THC 22 Spotlight Porto,Tilray THC22 Spotlight Porto (Jack Herer),Tilray THC22 Spotlight Porto - Jack Herer
117,Typ 1 Aurora: Island Sweet Skunk,Aurora Typ 1,Aurora Typ 1 – Island Sweet Skunk,Typ 1 Aurora,Aurora Typ 1,Med.-Cannabisbl. TYP 1 Aurora (Island Sweet Skunk),Typ 1 Aurora
118,Typ 1 Demecan: Bubba Kush,Demecan Typ 1,Demecan Typ 1  – Bubba Kush,Typ 1 Demecan,Demecan Typ 1,None,Typ 1 Demecan
119,Typ 2 Demecan: Orange Velvet,Demecan Typ 2,Demecan Typ 2 – Orange Velvet,Typ 2 Demecan,Demecan Typ 2,Med.-Cannabisbl. TYP 2 DEMECAN (Orange Velvet),Typ 2 Demecan
120,alephSana amber 22: Mango Kush,None,None,None,Alephsana 22/1 Amber,None,None
121,enua 25/1 CCK CA: Cold Creek Kush,None,enua 25/1 CCK CA – Cold Creek Kush,enua 25/1 CCK CA,Enua CCK 25/1 CA,enua 25/1 CCK CA (Cold Creek Kush),Enua 25/1 CA CCK
122,enua 27/1 CCK CA: Cold Creek Kush,None,enua 27/1 CCK CA – Cold Creek Kush,enua 27/1 CCK CA,Enua CCK 27/1 CA,enua 27/1 CCK CA (Cold Creek Kush),Enua 27/1 CA CCK
123,Cannabis 22/1 Vayamed: Ghost Train Haze,None,Vayamed 22/1 – Ghost Train Haze,22/1 Vayamed Cannabis Flos,Vayamed 22/1,22/1 Vayamed Cannabis Flos (Ghost Train Haze),Vayamed 22/1 Cannabis Flos
124,420 Evolution 25/1 CA TGP,420 Evolution 25/1 TGP,420 Evolution 25/1 CA TGP – Tiger Paw,420 Evolution 25/1 CA TGP,None,None,None
125,None,Adrex 26/1 SK Can,None,None,Adrex 26/1,Cannabis ADREX 26/1 Flos SK CAN (Sour Kush),Adrex 26/1 SK CAN
126,None,Blackbird Plain Sativa,None,Blackbird Plain Sativa,Blackbird Plain Sativa,Blackbird Plain Sativa (Euforia),None
127,Khiron G 19/1,Khiron Gelato 19/1,None,Khiron G 19/1,None,Khiron G 19/1 (Gelato),None
